part,mul,vol_mm3,rho_assumed,density_basis,fallback,mass_1x_g,mass_all_g,share_pct,measured_g,implied_rho_g_cm3,revised_mass_all_g,scale_hint
电机_出轴,1,12342.4486,7850,steel fastener/shaft,,96.8882,96.8882,31.768,33.3250,2.700,33.3250,0.01 g 秤
腿部_腿杆_片状V5,1,32270.6035,2700,aluminium,Y,87.1306,87.1306,28.568,253.3240,7.850,253.3240,0.01 g 秤
腿部_绑缚,1,24816.6775,1150,nylon/textile,,28.5392,28.5392,9.357,28.5392,1.150,28.5392,0.01 g 秤
腿部_滑块_双键,1,9666.5723,2700,aluminium,Y,26.0997,26.0997,8.558,,,26.0997,0.01 g 秤
腿部_滑轨_片形,1,6804.4881,2700,aluminium,Y,18.3721,18.3721,6.024,,,18.3721,0.001 g 秤
电机_片形腿杆连接件,1,6179.4712,2700,aluminium,Y,16.6846,16.6846,5.471,,,16.6846,0.001 g 秤
腿部_轴盖,1,3511.2895,2700,aluminium,Y,9.4805,9.4805,3.108,,,9.4805,0.001 g 秤
电机_黄铜轴套8_10_18,1,506.6761,8500,brass,,4.3067,4.3067,1.412,,,4.3067,0.001 g 秤
电机_轴,1,1506.0930,2700,aluminium,Y,4.0665,4.0665,1.333,,,4.0665,0.001 g 秤
腿部_平头螺丝_M3_8,4,84.8230,7850,steel fastener/shaft,,0.6659,2.6634,0.873,,,2.6634,0.001 g 秤 + 多件合并称
腿部_埋头螺丝_M3_8,4,72.8064,7850,steel fastener/shaft,,0.5715,2.2861,0.750,,,2.2861,0.001 g 秤 + 多件合并称
腿部_按键_双,2,844.4585,1200,polymer,,1.0134,2.0267,0.665,,,2.0267,0.001 g 秤 + 多件合并称
腿部_埋头螺丝_M3_6,4,58.6692,7850,steel fastener/shaft,,0.4606,1.8422,0.604,,,1.8422,不建议单件称（合并同规格件或称整组）
腿部_法兰注塑螺母_M3_6.3_4.6_5.5,4,52.1303,7850,steel fastener/shaft,,0.4092,1.6369,0.537,,,1.6369,不建议单件称（合并同规格件或称整组）
腿部_滑轨挡片,2,220.0522,2700,aluminium,Y,0.5941,1.1883,0.390,,,1.1883,0.001 g 秤 + 多件合并称
腿部_螺丝_M3_4,2,56.5487,7850,steel fastener/shaft,,0.4439,0.8878,0.291,,,0.8878,不建议单件称（合并同规格件或称整组）
腿部_顶丝_M4_4,2,49.7796,7850,steel fastener/shaft,,0.3908,0.7815,0.256,,,0.7815,不建议单件称（合并同规格件或称整组）
腿部设计_左-5,1,20.3349,2700,aluminium,Y,0.0549,0.0549,0.018,,,0.0549,不建议单件称（合并同规格件或称整组）
腿部设计_左-6,1,20.3349,2700,aluminium,Y,0.0549,0.0549,0.018,,,0.0549,不建议单件称（合并同规格件或称整组）
